origen_lat,origen_lon,destino_lat,destino_lon,departure_time,duracion_normal_seg,duracion_trafico_seg,congestion_ratio
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T04:00:00Z,824.0,759.0,0.9211165048543689
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T05:00:00Z,824.0,744.0,0.9029126213592233
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T06:00:00Z,824.0,704.0,0.8543689320388349
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T07:00:00Z,824.0,676.0,0.8203883495145631
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T08:00:00Z,824.0,663.0,0.8046116504854369
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T09:00:00Z,824.0,635.0,0.7706310679611651
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T10:00:00Z,824.0,644.0,0.7815533980582524
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T11:00:00Z,824.0,672.0,0.8155339805825242
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T12:00:00Z,824.0,708.0,0.8592233009708737
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T13:00:00Z,824.0,690.0,0.837378640776699
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T14:00:00Z,824.0,711.0,0.8628640776699029
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T15:00:00Z,824.0,714.0,0.866504854368932
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T16:00:00Z,824.0,722.0,0.8762135922330098
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T17:00:00Z,824.0,737.0,0.8944174757281553
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T18:00:00Z,824.0,763.0,0.9259708737864077
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T19:00:00Z,824.0,786.0,0.9538834951456311
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T20:00:00Z,824.0,771.0,0.9356796116504854
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T21:00:00Z,824.0,764.0,0.9271844660194175
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T22:00:00Z,824.0,743.0,0.9016990291262136
9.9358,-84.0558,9.9567,-84.1132,2026-08-23T23:00:00Z,824.0,770.0,0.9344660194174758
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T00:00:00Z,824.0,814.0,0.9878640776699029
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T01:00:00Z,824.0,792.0,0.9611650485436893
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T02:00:00Z,824.0,763.0,0.9259708737864077
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T03:00:00Z,824.0,770.0,0.9344660194174758
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T04:00:00Z,824.0,733.0,0.8895631067961165
