hora,dia_semana,ubicacion,origen_lat,origen_lon,destino_lat,destino_lon,duracion_normal_seg,duracion_trafico_seg,congestion_ratio,congestion_ajustada,nivel_congestion
18,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1021.0,1.2390776699029127,1.2390776699029127,Leve
19,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1054.0,1.279126213592233,1.279126213592233,Leve
20,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1069.0,1.2973300970873787,1.2973300970873787,Leve
21,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1060.0,1.2864077669902914,1.2864077669902914,Leve
22,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1089.0,1.3216019417475728,1.3216019417475728,Moderado
23,4,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1172.0,1.4223300970873787,1.4223300970873787,Moderado
0,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,967.0,1.1735436893203883,1.1735436893203883,Leve
1,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,817.0,0.991504854368932,1.0,Fluido
2,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,803.0,0.9745145631067961,1.0,Fluido
3,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,797.0,0.9672330097087378,1.0,Fluido
4,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,765.0,0.9283980582524272,1.0,Fluido
5,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,737.0,0.8944174757281553,1.0,Fluido
6,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,713.0,0.8652912621359223,1.0,Fluido
7,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,685.0,0.8313106796116505,1.0,Fluido
8,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,662.0,0.8033980582524272,1.0,Fluido
9,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,637.0,0.7730582524271845,1.0,Fluido
10,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,657.0,0.7973300970873787,1.0,Fluido
11,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,702.0,0.8519417475728155,1.0,Fluido
12,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,733.0,0.8895631067961165,1.0,Fluido
13,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,724.0,0.8786407766990292,1.0,Fluido
14,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,765.0,0.9283980582524272,1.0,Fluido
15,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,833.0,1.0109223300970873,1.0109223300970873,Leve
16,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,848.0,1.029126213592233,1.029126213592233,Leve
17,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,867.0,1.0521844660194175,1.0521844660194175,Leve
18,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1030.0,1.25,1.25,Leve
19,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1024.0,1.2427184466019416,1.2427184466019416,Leve
20,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1063.0,1.2900485436893203,1.2900485436893203,Leve
21,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,943.0,1.1444174757281553,1.1444174757281553,Leve
22,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,822.0,0.9975728155339806,1.0,Fluido
23,5,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,833.0,1.0109223300970873,1.0109223300970873,Leve
0,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,848.0,1.029126213592233,1.029126213592233,Leve
1,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,793.0,0.962378640776699,1.0,Fluido
2,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,775.0,0.9405339805825242,1.0,Fluido
3,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,783.0,0.9502427184466019,1.0,Fluido
4,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,759.0,0.9211165048543689,1.0,Fluido
5,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,744.0,0.9029126213592233,1.0,Fluido
6,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,704.0,0.8543689320388349,1.0,Fluido
7,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,676.0,0.8203883495145631,1.0,Fluido
8,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,663.0,0.8046116504854369,1.0,Fluido
9,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,635.0,0.7706310679611651,1.0,Fluido
10,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,644.0,0.7815533980582524,1.0,Fluido
11,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,672.0,0.8155339805825242,1.0,Fluido
12,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,708.0,0.8592233009708737,1.0,Fluido
13,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,690.0,0.837378640776699,1.0,Fluido
14,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,711.0,0.8628640776699029,1.0,Fluido
15,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,714.0,0.866504854368932,1.0,Fluido
16,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,722.0,0.8762135922330098,1.0,Fluido
17,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,737.0,0.8944174757281553,1.0,Fluido
18,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,763.0,0.9259708737864077,1.0,Fluido
19,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,786.0,0.9538834951456311,1.0,Fluido
20,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,771.0,0.9356796116504854,1.0,Fluido
21,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,764.0,0.9271844660194175,1.0,Fluido
22,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,743.0,0.9016990291262136,1.0,Fluido
23,6,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,770.0,0.9344660194174758,1.0,Fluido
0,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,814.0,0.9878640776699029,1.0,Fluido
1,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,792.0,0.9611650485436893,1.0,Fluido
2,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,763.0,0.9259708737864077,1.0,Fluido
3,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,770.0,0.9344660194174758,1.0,Fluido
4,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,733.0,0.8895631067961165,1.0,Fluido
5,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,695.0,0.8434466019417476,1.0,Fluido
6,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,675.0,0.8191747572815534,1.0,Fluido
7,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,660.0,0.8009708737864077,1.0,Fluido
8,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,637.0,0.7730582524271845,1.0,Fluido
9,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,649.0,0.787621359223301,1.0,Fluido
10,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,684.0,0.8300970873786407,1.0,Fluido
11,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,760.0,0.9223300970873787,1.0,Fluido
12,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1133.0,1.375,1.375,Moderado
13,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1230.0,1.4927184466019416,1.4927184466019416,Moderado
14,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1106.0,1.3422330097087378,1.3422330097087378,Moderado
15,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1030.0,1.25,1.25,Leve
16,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,936.0,1.1359223300970873,1.1359223300970873,Leve
17,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,913.0,1.108009708737864,1.108009708737864,Leve
18,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,896.0,1.087378640776699,1.087378640776699,Leve
19,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,889.0,1.078883495145631,1.078883495145631,Leve
20,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,868.0,1.0533980582524272,1.0533980582524272,Leve
21,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,888.0,1.0776699029126213,1.0776699029126213,Leve
22,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,916.0,1.1116504854368932,1.1116504854368932,Leve
23,0,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,1042.0,1.2645631067961165,1.2645631067961165,Leve
0,1,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,923.0,1.1201456310679612,1.1201456310679612,Leve
1,1,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,792.0,0.9611650485436893,1.0,Fluido
2,1,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,768.0,0.9320388349514563,1.0,Fluido
3,1,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,771.0,0.9356796116504854,1.0,Fluido
4,1,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,732.0,0.8883495145631068,1.0,Fluido
5,1,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,690.0,0.837378640776699,1.0,Fluido
6,1,San Jose Centro,9.9358,-84.0558,9.9567,-84.1132,824.0,668.0,0.8106796116504854,1.0,Fluido
